Origin,Activity ID,Vespa Category,Activity Name_en,Activity Name_cy,Month,Book,Activity Slides_en,Activity PDF_en,Activity Slides_cy,Activity PDF_cy,Welsh,Record ID
ALevel Mindset,83,Practice,Know the Skills,Adnabod y Sgiliau,March,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTaHAyl0PQhffLZe4mfP3AXPiDtDgBxfdUsYA9esEGszcKIZRYuG8niYH2WHrq8YSDheV4Z0qS7utGN/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P2 - Know the Skills.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607f3e2fe913fa001c6accf2
ALevel Mindset,81,Practice,Graphic Organisers,Trefnyddion Graffig,February,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vQJq6-u3q2WKUXNFTM1kOzRKY5Rm5ZuO7b-Hl1A8ue603tGlYCGphEwcYHbEfeLXHoACih8yZ_HF2jA/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P3-Graphic Organisers.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607f3d6c0f0db5001c46374f
ALevel Mindset,76,Practice,"Right, Wrong, Right","Cywir, Anghywir, Cywir",January,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vS0ssy8v6pUJSTQ1-TxrhAZtv8LKydfx25oX3naDf2U6u_Lxc_nfFBd1FidK6sdeBz45aP-S_3KPedL/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P6-Right,Wrong,Right.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607f3bf40f0db5001c463537
ALevel Mindset,71,Practice,Learning from your Mistakes,Dysgu o'ch Camgymeriadau,December,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTmMEpJXRFr85FKfguzke39J0CC5_XQ3zX0Ic_A41wg4uq6NkzLKEmwxXJxN3ah1gCNF0SXOK5HuY-6/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P7-Learn from Mistakes.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607f3a42e913fa001c6ac9ed
ALevel Mindset,61,Practice,The Revision Questionnaire,Yr Holiadur Adolygu,October,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/1-jJ9-1CvD2OR9JfpTYPoxarBorrWLe-WEC5BEX3rCbQ/embed?start=false&loop=false&delayms=3000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/LEVEL2PDFS/PRACTICE - Practice Questionnaire.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />",,"<iframe src=""https://slides.com/vespaslides/yr-holiadur-adolygu-c718ba/embed?token=4wscm_9c;mouseWheel=true"" width=""576"" height=""420"" title=""6.AGWEDD - Yr Holiadur Adolygu"" allowfullscreen>
</iframe><hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P1-Yr%20Holiadur%20Adolygu.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LAWRLWYTHWCH PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" /><p>e></p>",,Yes,607f31b32e418a0021b81dff
GCSE Mindset,46,Practice,High Flow Spaces,Gofodau Llif Uchel,April,GCSE Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTzr3rjG6H7Vd7ZfkQCnDcTNfyjQQ9E209iu1HSNXS7qLRK0senYBh0RCau5JuhZF6OwQPU1Teocbde/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - High Flow Spaces.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607ae44bb9af42001b0d5f19
GCSE Mindset,45,Practice,Finding Flow,Darganfod Llif,April,GCSE Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vSVjM2YbBizHgO90AXGxiaF6jHvAEaNLxAXixE6BePt2mi8lk1RpPxZvuslEyM_A_10FbYNab7pEIxm/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe><hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - Finding Flow.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607ae41176f731001b3b3062
VESPA Handbook,198,Systems,1% Planning,Cynllunio 1%,Febuary,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/SYSTEMS/1%25planning/slides.html"" width=""576"" height=""420"" title=""SYSTEMS - 1% Planning"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%201%25%20Planning%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d6165075
VESPA Handbook,197,Systems,Cornell Notes,Nodiadau Cornell,October,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/SYSTEMS/cornellnotes/slides.html"" width=""576"" height=""420"" title=""SYSTEMS - Cornell Notes"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Cornell%20Notes%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d616506e
VESPA Handbook,196,Systems,"Have to, Ought to, Want to","Rhaid, Dylwn, Eisiau",December,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/SYSTEMS/havetooughttowantto/slides.html"" width=""576"" height=""420"" title=""SYSTEMS - Have to, Ought to, Want to"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Have%20to%2COught%20to%2CWant%20to%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d6165067
VESPA Handbook,195,Systems,The Catch-Up Week,Yr Wythnos Dal i Fyny,January,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/SYSTEMS/thecatchupweek/slides.html"" width=""576"" height=""420"" title=""SYSTEMS - The Catch-Up Week"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Catch%20Up%20Week%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d6165060
VESPA Handbook,194,Systems,Boosters & Sappers (energy Makes Time),Hybuwr a Sugnwyr (Mae Egni'n Creu Amser),June,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/SYSTEMS/boosters%26sappers/slides.html"" width=""576"" height=""420"" title=""SYSTEMS - Boosters & Sappers (energy Makes Time)"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Boosters%20%26%20Sappers.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d6165059
VESPA Handbook,193,Systems,"Pending, Doing, Done","Ar y Gweill, Yn Gwneud, Wedi Gorffen",October,GCSE Mindset,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/SYSTEMS/pendingdoingdone/slides.html"" width=""576"" height=""420"" title=""SYSTEMS - Pending, Doing, Done"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Pending%2C%20Doing%2C%20Done.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d6165052
VESPA Handbook,192,Systems,Night School,Ysgol Nos,September,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/SYSTEMS/nightschool/slides.html"" width=""576"" height=""420"" title=""SYSTEMS - Night School"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Night%20School.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d616504b
VESPA Handbook,191,Systems,The Sunday Night Ritual,Defod Nos Sul,May,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/SYSTEMS/sundaynightritual/slides.html"" width=""576"" height=""420"" title=""SYSTEMS - The Sunday Night Ritual"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20The%20Sunday%20Night%20Ritual%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d6165044
VESPA Handbook,190,Effort,Red Flag Rescue Plans,Cynlluniau Achub Baner Goch,April,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/EFFORT/redflagrescue/slides.html"" width=""576"" height=""420"" title=""EFFORT - Red Flag Rescue Plans"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Red%20Flag%20Rescue%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d616503d
VESPA Handbook,189,Effort,The Clarity Countdown (A safety system for difficult topics),Y Cyfrif i Lawr Eglurder (System ddiogelwch ar gyfer pynciau anodd),March,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/EFFORT/claritycountdown/slides.html"" width=""576"" height=""420"" title=""EFFORT - The Clarity Countdown"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Clarity%20Countdown%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d6165036
VESPA Handbook,188,Effort,Activating and Sustaining,Actifadu a Chynnal,Febuary,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/EFFORT/activating%26sustaining/slides.html"" width=""576"" height=""420"" title=""EFFORT - Activating and Sustaining"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Activating%20%26%20Sustaining%28Editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d616502f
VESPA Handbook,187,Effort,Questify,Questify,January,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/EFFORT/questify/slides.html"" width=""576"" height=""420"" title=""EFFORT - Questify"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Questify%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d6165028
VESPA Handbook,186,Effort,Disruption Cost and Deep  Work,Cost Tarfu a Gwaith Dwfn,December,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/EFFORT/disruptioncost%26deepwork/slides.html"" width=""576"" height=""420"" title=""EFFORT - Disruption Cost and Deep  Work"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Disruption%20Cost%20and%20Deep%20Work%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d6165021
VESPA Handbook,185,Effort,Becoming Indestractable,Dod yn Ddi-Dynnu-Sylw,November,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/EFFORT/indestractible/slides.html"" width=""576"" height=""420"" title=""EFFORT - Becoming Indestractable"" allowfullscreen>
</iframe><hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Indestractible%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d616501a
VESPA Handbook,184,Effort,The Peleton,Y Peloton,November,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/EFFORT/thepeloton/slides.html"" width=""576"" height=""420"" title=""EFFORT - The Peleton"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20The%20Peleton%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d6165013
