"Worksheets Name","Activity Order","LEVEL","Multiple Choice","PDF LINK","Tutor Activity Level","Welsh","PDF EMBED","PDF Link","Activity Month","Activity Score Profile","Text Formula","PDFLink","LOW Score","MID Score","HIGH Score","Record ID"
"Getting Dreams Done","4","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V2 - Getting Dreams Done.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V2%20-%20Getting%20Dreams%20Done.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V2%20-%20Getting%20Dreams%20Done.pdf","September","Mid-High","VI34","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V2%20-%20Getting%20Dreams%20Done.pdf","","Yes","Yes","608513d4919162001b6e236b"
"Growth Mindset","4","2","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE - Growth Mindset.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Growth%20Mindset.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Growth%20Mindset.pdf","February","Mid-High","AT24","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Growth%20Mindset.pdf","","Yes","Yes","6089d5e4e5a029001ce17121"
"V2-Cyflawni Breuddwydion","4","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V2-Cyflawni%20Breuddwydion.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V2-Cyflawni%20Breuddwydion.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V2-Cyflawni%20Breuddwydion.pdf","September","Mid-High","VI34","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V2-Cyflawni%20Breuddwydion.pdf","","Yes","Yes","645d53a4e06f930b58f9891a"
"NAF vs NACH","4","","ATTITUDE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Naf%20vs%20Nach%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Naf%20vs%20Nach%28editable%29.pdf","October","All","AT4","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Naf%20vs%20Nach%28editable%29.pdf","","","","670fd72b7a774b02cea96d71"
"The Roadmap","5","2","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION - Roadmap.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Roadmap.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Roadmap.pdf","October","High","VI25","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Roadmap.pdf","","","Yes","60851512919162001b6e2442"
"A7-Y Prawf Fampir","5","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A7-Y%20Prawf%20Fampir.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A7-Y%20Prawf%20Fampir.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A7-Y%20Prawf%20Fampir.pdf","September","Low","AT35","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A7-Y%20Prawf%20Fampir.pdf","Yes","","","645d5389e06f930b58f98882"
"Vampire Test","5","3","ATTITUDE","","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A7-Vampire%20Test.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A7-Vampire%20Test.pdf","September","Low","AT35","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A7-Vampire%20Test.pdf","Yes","","","670fd7267a774b02cea96859"
"The Command Verb Table","5","","PRACTICE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20The%20Command%20Verb%20table%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20The%20Command%20Verb%20table%28editable%29.pdf","October","Mid-High","PR5","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20The%20Command%20Verb%20table%28editable%29.pdf","","Yes","Yes","670fd72b7a774b02cea96d7b"
"Weekly Planner","6","2","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS - Weekly Planner.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20Weekly%20Planner.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20Weekly%20Planner.pdf","October","All","SY26","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20Weekly%20Planner.pdf","","","","6085180363e5b0001cf79ee7"
"E3-Arfer y Tair ‘A’ (The Three Rs)","6","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E3-Arfer%20y%20Tair%20%E2%80%98A%E2%80%99%20%28The%20Three%20Rs%29.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E3-Arfer%20y%20Tair%20%E2%80%98A%E2%80%99%20%28The%20Three%20Rs%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E3-Arfer%20y%20Tair%20%E2%80%98A%E2%80%99%20%28The%20Three%20Rs%29.pdf","October","High","EF36","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E3-Arfer%20y%20Tair%20%E2%80%98A%E2%80%99%20%28The%20Three%20Rs%29.pdf","","","Yes","645d536ee06f930b58f987eb"
"3R's of Habit","6","3","EFFORT","","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E3%20-%203R%27s%20of%20Habit.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E3%20-%203R%27s%20of%20Habit.pdf","October","High","EF36","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E3%20-%203R%27s%20of%20Habit.pdf","","","Yes","670fd7277a774b02cea96930"
"Cornell Notes","6","","SYSTEMS","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Cornell%20Notes%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Cornell%20Notes%28editable%29.pdf","October","Mid-High","SY6","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Cornell%20Notes%28editable%29.pdf","","Yes","Yes","670fd72b7a774b02cea96d85"
"Rule of Three","7","2","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION - Rule of 3.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Rule%20of%203.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Rule%20of%203.pdf","October","High","VI27","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Rule%20of%203.pdf","","","Yes","6085152945797e001d577edb"
"P1-Yr Holiadur Adolygu","7","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P1-Yr%20Holiadur%20Adolygu.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P1-Yr%20Holiadur%20Adolygu.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P1-Yr%20Holiadur%20Adolygu.pdf","October","All","PR37","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P1-Yr%20Holiadur%20Adolygu.pdf","","","","645d5378e06f930b58f9882a"
"Revision Questionnaire","7","3","PRACTICE","","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P1-Revision%20Questionnaire.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P1-Revision%20Questionnaire.pdf","October","All","PR37","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P1-Revision%20Questionnaire.pdf","","","","670fd7277a774b02cea969d2"
"Pending, Doing, Done","7","","SYSTEMS","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Pending%2C%20Doing%2C%20Done.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Pending%2C%20Doing%2C%20Done.pdf","October","All","SY7","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Pending%2C%20Doing%2C%20Done.pdf","","","","670fd72b7a774b02cea96d8f"
"Breakfast Club","8","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S2-The Breakfast Club.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S2-The%20Breakfast%20Club.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S2-The%20Breakfast%20Club.pdf","October","Low","SY38","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S2-The%20Breakfast%20Club.pdf","Yes","","","608516e663e5b0001cf79e3d"
"Chunking Steps","8","2","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS - Chunking Steps.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20Chunking%20Steps.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20Chunking%20Steps.pdf","October","Low-Mid","SY28","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20Chunking%20Steps.pdf","Yes","Yes","","608517db119807001b7417d3"
"S2-The Breakfast Club","8","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S2-The%20Breakfast%20Club.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S2-The%20Breakfast%20Club.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S2-The%20Breakfast%20Club.pdf","October","Low","SY38","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S2-The%20Breakfast%20Club.pdf","Yes","","","645d538de06f930b58f98886"
"Sweet and Sour Summers","8","","VISION","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Sweet%20%26%20Sour%20Summers%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Sweet%20%26%20Sour%20Summers%28editable%29.pdf","October","Low-Mid","VI8","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Sweet%20%26%20Sour%20Summers%28editable%29.pdf","Yes","Yes","","670fd72b7a774b02cea96d99"
"Grit","9","2","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION - Grit.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Grit.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Grit.pdf","October","Low","VI29","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Grit.pdf","Yes","","","6085153b45f2a3001b7bc284"
"Energy Line","9","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S1-Energy Line.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S1-Energy%20Line.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S1-Energy%20Line.pdf","October","Low","SY39","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S1-Energy%20Line.pdf","Yes","","","608516fd119807001b741747"
"S1-The Energy Line","9","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S1-The%20Energy%20Line.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S1-The%20Energy%20Line.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S1-The%20Energy%20Line.pdf","October","Low","SY39","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S1-The%20Energy%20Line.pdf","Yes","","","645d5384e06f930b58f9887d"
